iter	Passed	Remaining
0	0	84
1	1	92
2	2	89
3	3	85
4	4	86
5	5	83
6	5	77
7	6	74
8	7	72
9	7	69
10	8	69
11	9	68
12	9	66
13	10	65
14	11	64
15	12	63
16	12	61
17	13	60
18	13	59
19	14	58
20	15	57
21	15	55
22	16	54
23	16	53
24	17	52
25	18	52
26	19	51
27	19	51
28	20	50
29	21	49
30	22	49
31	22	48
32	23	47
33	24	46
34	24	45
35	25	45
36	26	44
37	26	43
38	27	42
39	27	41
40	28	40
41	28	39
42	28	38
43	29	37
44	29	36
45	30	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	31
51	33	31
52	34	30
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	25
59	37	25
60	38	24
61	38	23
62	39	23
63	39	22
64	40	21
65	40	21
66	41	20
67	41	19
68	42	18
69	42	18
70	43	17
71	44	17
72	44	16
73	45	15
74	45	15
75	46	14
76	46	13
77	47	13
78	47	12
79	47	11
80	48	11
81	49	10
82	49	10
83	50	9
84	50	8
85	51	8
86	51	7
87	52	7
88	52	6
89	53	5
90	53	5
91	54	4
92	54	4
93	54	3
94	55	2
95	56	2
96	56	1
97	57	1
98	57	0
99	58	0
