iter	Passed	Remaining
0	98	98068
1	99	49444
2	99	33179
3	100	25010
4	101	20126
5	101	16843
6	102	14496
7	102	12737
8	103	11366
9	103	10267
10	104	9384
11	105	8649
12	105	8019
13	106	7478
14	106	7008
15	107	6596
16	107	6235
17	108	5910
18	108	5621
19	109	5361
20	109	5124
21	110	4918
22	111	4724
23	111	4543
24	112	4380
25	112	4229
26	113	4089
27	114	3958
28	114	3835
29	115	3719
30	115	3612
31	116	3514
32	116	3421
33	117	3337
34	117	3253
35	118	3174
36	119	3099
37	119	3029
38	120	2962
39	120	2898
40	121	2840
41	121	2782
42	122	2727
43	123	2676
44	123	2628
45	124	2580
46	124	2533
47	125	2488
48	126	2445
49	126	2404
50	127	2363
51	127	2325
52	128	2287
53	128	2251
54	129	2221
55	129	2189
56	130	2157
57	131	2127
58	131	2099
59	132	2070
60	132	2041
61	133	2014
62	133	1987
63	134	1961
64	134	1937
65	135	1915
66	135	1893
67	136	1871
68	137	1848
69	137	1828
70	138	1807
71	138	1787
72	139	1768
73	139	1748
74	140	1729
75	140	1712
76	141	1696
77	142	1679
78	142	1662
79	143	1645
80	143	1630
81	144	1615
82	144	1597
83	145	1582
84	145	1567
85	146	1554
86	146	1539
87	147	1527
88	148	1515
89	148	1502
90	149	1490
91	149	1477
92	150	1466
93	150	1454
94	151	1443
95	152	1432
96	152	1420
97	153	1409
98	153	1399
99	154	1389
100	154	1379
101	155	1369
102	156	1359
103	156	1348
104	157	1342
105	158	1333
106	158	1324
107	159	1315
108	159	1306
109	160	1298
110	161	1289
111	161	1280
112	162	1272
113	162	1263
114	163	1255
115	163	1247
116	164	1238
117	164	1231
118	165	1223
119	165	1215
120	166	1209
121	167	1202
122	167	1195
123	168	1188
124	168	1181
125	169	1174
126	169	1166
127	170	1159
128	170	1152
129	171	1146
130	171	1139
131	172	1133
132	173	1128
133	173	1121
134	174	1115
135	174	1108
136	175	1102
137	175	1097
138	176	1092
139	176	1086
140	177	1080
141	177	1073
142	178	1067
143	178	1063
144	179	1058
145	179	1052
146	180	1047
147	180	1041
148	181	1036
149	181	1031
150	182	1025
151	182	1020
152	183	1015
153	183	1010
154	184	1005
155	185	1001
156	185	997
157	186	992
158	186	987
159	187	982
160	187	976
161	187	972
162	188	967
163	188	962
164	189	957
165	189	953
166	190	948
167	190	944
168	191	940
169	191	936
170	192	932
171	192	928
172	193	924
173	193	920
174	194	916
175	194	912
176	195	908
177	195	904
178	196	900
179	196	896
180	197	893
181	198	889
182	198	886
183	199	882
184	199	879
185	200	875
186	200	872
187	201	868
188	201	865
189	202	862
190	202	858
191	203	855
192	203	852
193	204	850
194	205	846
195	205	843
196	206	840
197	206	837
198	207	834
199	207	831
200	208	827
201	208	824
202	209	821
203	209	818
204	210	815
205	210	812
206	211	810
207	211	807
208	212	804
209	212	801
210	213	798
211	213	794
212	214	792
213	214	789
214	215	786
215	216	784
216	216	781
217	217	779
218	217	776
219	218	773
220	218	770
221	219	768
222	219	765
223	220	762
224	220	760
225	221	757
226	221	755
227	222	752
228	222	750
229	223	748
230	224	746
231	224	743
232	225	740
233	225	738
234	225	735
235	226	733
236	226	730
237	227	728
238	227	725
239	228	723
240	228	720
241	229	718
242	230	716
243	230	714
244	231	712
245	231	709
246	232	707
247	232	704
248	233	702
249	233	700
250	233	698
251	234	695
252	234	693
253	235	691
254	236	689
255	236	687
256	237	685
257	237	683
258	238	680
259	238	678
260	239	676
261	239	674
262	240	672
263	240	670
264	241	668
265	241	666
266	242	665
267	242	663
268	243	661
269	243	659
270	244	657
271	244	655
272	245	653
273	245	651
274	246	648
275	246	646
276	247	644
277	247	643
278	248	641
279	249	641
280	250	639
281	250	637
282	251	636
283	251	634
284	252	632
285	252	630
286	252	628
287	253	626
288	253	624
289	254	622
290	255	621
291	255	619
292	256	617
293	256	616
294	257	614
295	257	612
296	258	610
297	258	609
298	259	607
299	259	605
300	260	603
301	260	602
302	261	600
303	261	599
304	262	597
305	262	595
306	263	594
307	263	592
308	264	590
309	264	589
310	265	587
311	265	585
312	266	583
313	266	582
314	267	581
315	267	579
316	268	578
317	269	576
318	269	575
319	270	573
320	270	572
321	271	570
322	271	569
323	272	567
324	272	566
325	273	564
326	273	563
327	274	562
328	275	561
329	275	559
330	276	558
331	276	556
332	277	555
333	277	553
334	278	552
335	278	551
336	279	549
337	280	548
338	280	547
339	281	545
340	281	544
341	282	542
342	282	541
343	283	539
344	283	538
345	284	537
346	284	535
347	285	534
348	286	533
349	286	532
350	287	531
351	287	529
352	288	528
353	288	527
354	289	525
355	289	524
356	290	523
357	290	521
358	291	520
359	292	519
360	292	518
361	293	517
362	293	515
363	294	514
364	295	513
365	295	512
366	296	510
367	296	509
368	297	508
369	297	506
370	298	505
371	298	504
372	299	503
373	299	502
374	300	500
375	300	499
376	301	497
377	301	496
378	302	495
379	302	494
380	303	492
381	303	491
382	304	490
383	305	489
384	305	488
385	306	487
386	306	485
387	307	484
388	307	483
389	308	482
390	308	480
391	309	479
392	309	478
393	310	477
394	310	475
395	311	474
396	311	473
397	312	472
398	312	471
399	313	469
400	313	468
401	314	467
402	314	466
403	315	464
404	315	463
405	316	462
406	316	461
407	317	460
408	317	459
409	318	458
410	318	456
411	319	455
412	319	454
413	320	453
414	320	452
415	321	451
416	321	449
417	322	448
418	322	447
419	323	446
420	323	444
421	324	443
422	324	443
423	325	441
424	325	440
425	326	439
426	326	438
427	327	437
428	327	436
429	328	434
430	328	433
431	329	432
432	329	431
433	330	430
434	330	429
435	331	428
436	331	427
437	332	426
438	332	425
439	333	424
440	333	423
441	334	422
442	334	420
443	335	419
444	335	418
445	336	417
446	336	416
447	337	415
448	338	414
449	338	413
450	338	412
451	339	411
452	339	410
453	340	409
454	340	408
455	341	407
456	341	406
457	342	405
458	342	404
459	343	403
460	344	402
461	344	401
462	345	400
463	345	399
464	346	398
465	346	397
466	347	396
467	347	395
468	347	393
469	348	392
470	348	391
471	349	391
472	350	390
473	350	389
474	351	388
475	351	387
476	352	386
477	352	385
478	353	384
479	354	383
480	354	382
481	355	381
482	355	380
483	356	380
484	356	379
485	357	378
486	357	377
487	358	375
488	358	375
489	359	373
490	359	372
491	360	371
492	361	371
493	361	370
494	362	369
495	362	368
496	363	367
497	363	366
498	364	365
499	364	364
500	365	363
501	365	362
502	365	361
503	366	360
504	367	359
505	367	358
506	368	357
507	368	357
508	369	356
509	369	355
510	370	354
511	370	353
512	371	352
513	371	351
514	372	350
515	372	349
516	373	348
517	373	347
518	374	346
519	374	345
520	375	345
521	375	344
522	376	343
523	376	342
524	377	341
525	377	340
526	378	339
527	378	338
528	379	338
529	380	337
530	380	336
531	381	335
532	382	334
533	382	333
534	383	333
535	383	332
536	384	331
537	384	330
538	385	329
539	386	328
540	386	327
541	387	327
542	387	326
543	388	325
544	388	324
545	389	323
546	389	322
547	390	322
548	390	321
549	391	320
550	391	319
551	392	318
552	392	317
553	393	316
554	394	315
555	394	315
556	395	314
557	395	313
558	396	312
559	396	311
560	397	310
561	397	310
562	398	309
563	399	308
564	399	307
565	400	306
566	400	306
567	401	305
568	402	304
569	402	303
570	403	302
571	403	302
572	404	301
573	405	300
574	405	299
575	406	299
576	406	298
577	407	297
578	408	296
579	408	296
580	409	295
581	410	294
582	410	293
583	411	293
584	411	292
585	412	291
586	412	290
587	413	289
588	414	288
589	414	288
590	415	287
591	415	286
592	416	285
593	416	284
594	417	284
595	418	283
596	419	282
597	419	282
598	420	281
599	421	280
600	421	280
601	422	279
602	422	278
603	423	277
604	424	276
605	424	276
606	425	275
607	425	274
608	426	273
609	426	272
610	427	271
611	427	271
612	428	270
613	428	269
614	429	268
615	430	268
616	430	267
617	431	266
618	431	265
619	432	265
620	433	264
621	433	263
622	434	262
623	434	261
624	435	261
625	435	260
626	436	259
627	436	258
628	437	257
629	437	257
630	438	256
631	439	255
632	439	254
633	440	254
634	440	253
635	441	252
636	441	251
637	442	250
638	443	250
639	443	249
640	444	248
641	444	248
642	445	247
643	446	246
644	446	245
645	447	244
646	447	244
647	448	243
648	448	242
649	449	241
650	449	241
651	450	240
652	451	239
653	451	238
654	452	238
655	452	237
656	453	236
657	453	235
658	454	235
659	454	234
660	455	233
661	456	232
662	456	232
663	457	231
664	458	230
665	458	230
666	459	229
667	460	228
668	460	227
669	461	227
670	461	226
671	462	225
672	463	225
673	463	224
674	464	223
675	464	222
676	465	222
677	466	221
678	466	220
679	467	219
680	467	219
681	468	218
682	469	217
683	469	217
684	470	216
685	471	215
686	471	214
687	472	214
688	473	213
689	473	212
690	474	212
691	475	211
692	475	210
693	476	210
694	477	209
695	477	208
696	478	208
697	479	207
698	479	206
699	480	205
700	481	205
701	481	204
702	482	203
703	483	203
704	484	202
705	484	201
706	485	201
707	486	200
708	486	199
709	487	199
710	488	198
711	488	197
712	489	197
713	490	196
714	490	195
715	491	195
716	492	194
717	492	193
718	493	192
719	494	192
720	494	191
721	495	190
722	496	190
723	496	189
724	497	188
725	498	188
726	498	187
727	499	186
728	499	185
729	500	185
730	501	184
731	502	183
732	502	183
733	503	182
734	504	181
735	504	181
736	505	180
737	506	179
738	506	178
739	507	178
740	508	177
741	509	177
742	509	176
743	510	175
744	511	174
745	511	174
746	512	173
747	513	172
748	514	172
749	515	171
750	515	170
751	516	170
752	517	169
753	517	168
754	518	168
755	519	167
756	520	166
757	520	166
758	521	165
759	522	165
760	523	164
761	523	163
762	524	162
763	525	162
764	525	161
765	526	160
766	527	160
767	528	159
768	528	158
769	529	158
770	530	157
771	530	156
772	531	156
773	531	155
774	532	154
775	533	153
776	534	153
777	535	152
778	535	152
779	536	151
780	537	150
781	537	149
782	538	149
783	539	148
784	539	147
785	540	147
786	541	146
787	541	145
788	542	144
789	542	144
790	543	143
791	543	142
792	544	142
793	544	141
794	545	140
795	545	139
796	546	139
797	546	138
798	547	137
799	548	137
800	548	136
801	549	135
802	549	134
803	550	134
804	550	133
805	551	132
806	551	132
807	552	131
808	552	130
809	553	129
810	554	129
811	554	128
812	554	127
813	555	126
814	556	126
815	556	125
816	557	124
817	557	124
818	558	123
819	558	122
820	559	122
821	560	121
822	561	120
823	561	119
824	562	119
825	562	118
826	563	117
827	564	117
828	564	116
829	565	115
830	566	115
831	566	114
832	567	113
